date,weekday,ave_days
2007-01-04,Thursday,0.17948717948718
2007-01-05,Friday,0.5
2007-01-06,Saturday,
2007-01-07,Sunday,
2007-01-08,Monday,3.52173913043478
2007-01-09,Tuesday,2.85
2007-01-10,Wednesday,2.33333333333333
2007-01-11,Thursday,3.5
2007-01-12,Friday,3.36619718309859
2007-01-13,Saturday,0
2007-01-14,Sunday,
2007-01-15,Monday,
2007-01-16,Tuesday,6.67567567567568
2007-01-17,Wednesday,5.69064748201439
2007-01-18,Thursday,3.59763313609467
2007-01-19,Friday,1.64259927797834
2007-01-20,Saturday,1.15
2007-01-21,Sunday,
2007-01-22,Monday,3.78632478632479
2007-01-23,Tuesday,2.36567164179104
2007-01-24,Wednesday,3.52631578947368
2007-01-25,Thursday,2.35483870967742
2007-01-26,Friday,3.13084112149533
2007-01-27,Saturday,1.13333333333333
2007-01-28,Sunday,
2007-01-29,Monday,3.05521472392638
2007-01-30,Tuesday,4.21782178217822
2007-01-31,Wednesday,1.88125
2007-02-01,Thursday,12.508356545961
2007-02-02,Friday,4.79452054794521
2007-02-03,Saturday,1.0952380952381
2007-02-04,Sunday,
2007-02-05,Monday,5.22916666666667
2007-02-06,Tuesday,4.60493827160494
2007-02-07,Wednesday,3.8
2007-02-08,Thursday,4.036866359447
2007-02-09,Friday,4.04166666666667
2007-02-10,Saturday,6.77611940298507
2007-02-11,Sunday,
2007-02-12,Monday,4.3469387755102
2007-02-13,Tuesday,4.21186440677966
2007-02-14,Wednesday,3.77272727272727
2007-02-15,Thursday,2.55958549222798
2007-02-16,Friday,2.67836257309942
2007-02-17,Saturday,1.58139534883721
2007-02-18,Sunday,
2007-02-19,Monday,
2007-02-20,Tuesday,5.25906735751295
2007-02-21,Wednesday,4.94685990338164
2007-02-22,Thursday,5.40340909090909
2007-02-23,Friday,3.248
2007-02-24,Saturday,1.16
2007-02-25,Sunday,5.65
2007-02-26,Monday,5.99646643109541
2007-02-27,Tuesday,3.33606557377049
2007-02-28,Wednesday,5.65357142857143
2007-03-01,Thursday,9.81725888324873
2007-03-02,Friday,22.0946601941748
2007-03-03,Saturday,12.5378151260504
2007-03-04,Sunday,
2007-03-05,Monday,25.0523952095808
2007-03-06,Tuesday,6
2007-03-07,Wednesday,3.68095238095238
2007-03-08,Thursday,3.82380952380952
2007-03-09,Friday,2.43518518518519
2007-03-10,Saturday,2.58333333333333
2007-03-11,Sunday,
2007-03-12,Monday,4.67234042553192
2007-03-13,Tuesday,3.32369942196532
2007-03-14,Wednesday,4.90045248868778
2007-03-15,Thursday,8.33447098976109
2007-03-16,Friday,9.72523961661342
2007-03-17,Saturday,3.01851851851852
2007-03-18,Sunday,
2007-03-19,Monday,8.65
2007-03-20,Tuesday,6.60919540229885
2007-03-21,Wednesday,3.38738738738739
2007-03-22,Thursday,3.8955223880597
2007-03-23,Friday,2.35714285714286
2007-03-24,Saturday,1.14285714285714
2007-03-25,Sunday,
2007-03-26,Monday,21.0986937590711
2007-03-27,Tuesday,8.58823529411765
2007-03-28,Wednesday,8.77815699658703
2007-03-29,Thursday,4.82608695652174
2007-03-30,Friday,6.01047120418848
2007-03-31,Saturday,1.04545454545455
2007-04-01,Sunday,6.83333333333333
2007-04-02,Monday,8.4551724137931
2007-04-03,Tuesday,6.34334763948498
2007-04-04,Wednesday,3.625
2007-04-05,Thursday,5.89250814332248
2007-04-06,Friday,7.90454545454545
2007-04-07,Saturday,1.64864864864865
2007-04-08,Sunday,16.4285714285714
2007-04-09,Monday,11.1828358208955
2007-04-10,Tuesday,9.62962962962963
2007-04-11,Wednesday,3.86547085201794
2007-04-12,Thursday,12.4946996466431
2007-04-13,Friday,7.97087378640777
2007-04-14,Saturday,0
2007-04-15,Sunday,4.75
2007-04-16,Monday,11.4025157232704
2007-04-17,Tuesday,10.4147058823529
2007-04-18,Wednesday,8.71955719557196
2007-04-19,Thursday,8.6
2007-04-20,Friday,7.72037914691943
2007-04-21,Saturday,2.12727272727273
2007-04-22,Sunday,
2007-04-23,Monday,9.54545454545454
2007-04-24,Tuesday,11.1371681415929
2007-04-25,Wednesday,8.13362068965517
2007-04-26,Thursday,6.82285714285714
2007-04-27,Friday,19.4784482758621
2007-04-28,Saturday,1.33333333333333
2007-04-29,Sunday,11.6538461538462
2007-04-30,Monday,9.31016042780749
2007-05-01,Tuesday,18.6746987951807
2007-05-02,Wednesday,7.98660714285714
2007-05-03,Thursday,9.21338912133891
2007-05-04,Friday,5.08235294117647
2007-05-05,Saturday,1.41025641025641
2007-05-06,Sunday,5.7
2007-05-07,Monday,11.1054131054131
2007-05-08,Tuesday,7.11923076923077
2007-05-09,Wednesday,12.5367647058824
2007-05-10,Thursday,5.31666666666667
2007-05-11,Friday,8.27985074626866
2007-05-12,Saturday,1.83333333333333
2007-05-13,Sunday,4.5
2007-05-14,Monday,12.0035587188612
2007-05-15,Tuesday,14.4496124031008
